harvested_question,rewrite_as_a_student_would_ask,expected_url,lang,page_title,keep
What should I do if I hold one of the listed certificates?,,https://www.cla.unitn.it/en/807/faq,en,FAQ | Language Centre - CLA,
How do I apply to a graduate program in the College of Engineering and Applied Science?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What is the minimum GPA you accept?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What is the Application Deadline for Fall?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What is the Application Deadline for SPRING?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
Can I supply you with my credentials and application details and can you tell me if I will be admitted?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
"What degrees do you offer? How are the degrees (MEng, MS and Ph.D.) different?",,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
How do I pay my application fee and can the fee be waived?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What does a typical application contain?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
Must I submit official electronic scores of my GRE and English Proficiency tests scores to UC?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
May I submit my application if I have not yet taken the necessary standardized tests?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
With whom can I speak regarding financial aid opportunities?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
Who do I speak if I have encountered technical issues with the online application system?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What does Graduate Admjssions consider official transcripts?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What is Graduate Admissions’ mailing address?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
