category,question,expected_url,lang,year,doc_type,page_title,note
bilingual,,https://webapps.unitn.it/du/it/Persona/PER0172913/Pubblicazioni,it,2026,research,Paolo Turrini | Pubblicazioni | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/du/it/StrutturaAccademica/STO0010809/Persone,it,2026,people,Corso di Dottorato - Le Forme del Testo | Persone | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/du/it/Persona/PER0176915/Tesi,it,2026,page,Erica Alfinelli | Tesi | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/du/it/Persona/PER0172144/ProposteTesi,it,2026,page,Jeroen Andre Filip Vaes | Proposte tesi | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/form/it/Web/Application/convegni/segnimostruosizoom,it,2026,page,Segni mostruosi - ONLINE,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://eventi.unitn.it/it/festival-della-famiglia-panel-1-fare-figli-oggi-tra-valori-aspettative-e-vincoli,it,2026,event,"Festival della Famiglia - PANEL 1 - Fare figli oggi tra valori, aspettative e vincoli | Ev",write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/du/it/Persona/PER0228085/Pubblicazioni,it,2026,research,Chiara Gioia | Pubblicazioni | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/du/it/Persona/PER0000776/Pubblicazioni,it,2026,research,Federica Ricci Garotti | Pubblicazioni | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://eventi.unitn.it/it/metrike-ananke-laboratorio-di-metrica-greca-6deg-incontro,it,2026,event,Metrikè Ananke. Laboratorio di metrica greca - 6° incontro | Eventi | UniTN,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/du/it/Persona/PER0000845/Didattica,it,2026,page,Sara Lorenzini | Didattica | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/du/it/StrutturaGestionale/STO0014837/Persone,it,2026,people,CSIRT UniTrento | Persone | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
bilingual,,https://webapps.unitn.it/du/it/Persona/PER0004905/OrarioRicevimento,it,2026,page,Annaluisa Pedrotti | Orario ricevimento | Università di Trento,write the question in BOTH languages; both versions should not occupy two slots
temporal,,https://event.unitn.it/2025/pensatrasversale/,it,2025,event,"Pensa Trasversale - 24, 25 ottobre 2025 | PENSA TRASVERSALE",an outdated sibling exists; the current one must win
temporal,,https://event.unitn.it/festivalmeteorologia2024/le-sedi-del-festival/,it,2024,event,Sedi,an outdated sibling exists; the current one must win
temporal,,https://disi.unitn.it/rseba/DIDATTICA/fai_2025/SLIDES/HANDOUTS-13-QuantifyingUncertainty.pdf,en,2025,pdf,HANDOUTS-13-QuantifyingUncertainty.pdf,an outdated sibling exists; the current one must win
temporal,,http://disi.unitn.it/~passerini/teaching/2025-2026/AdvancedTopicsInMachineLearning/slides/SP/talk.pdf,en,2025,pdf,talk.pdf,an outdated sibling exists; the current one must win
temporal,,http://disi.unitn.it/~passerini/teaching/2025-2026/sci-pro/slides/00-introcorso.pdf,en,2025,pdf,00-introcorso.pdf,an outdated sibling exists; the current one must win
temporal,,http://disi.unitn.it/~passerini/teaching/2025-2026/sci-pro/slides/A02-datastructures.pdf,en,2025,pdf,A02-datastructures.pdf,an outdated sibling exists; the current one must win
temporal,,https://iid.unitn.it/education/admission/past-calls/reserved-topic-scholarships-2025,en,2025,admissions,Reserved topic scholarships and PhD Executive positions - 2025 | Doctorate Program in Indu,an outdated sibling exists; the current one must win
